"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. . "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. apnea monitors. in this classification, this commodity indicates a product that is a customized computer monitor that displays apnea specific levels.  us fda regulates apnea monitors under 21 cfr 868.2375 and under fda product code bzq.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. oxygen therapy delivery system product accessories or supplies. in this classification, this commodity indicates a product that is either an accessory or consumable associated with oxygen therapy delivery system product or supplies.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"respiratory humidity and aerosol therapy products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory humidity and aerosol therapy based medical procedures.. . "
"respiratory humidity and aerosol therapy products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory humidity and aerosol therapy based medical procedures.. respiratory humidifiers or vaporizers. in this classification, this commodity indicates a product used as a vaporizer or humidifier in a respiratory therapy in a medical setting.  us fda regulates respiratory humidifiers or vaporizers under 21 cfr 868.5270 and under fda product code btt.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"respiratory humidity and aerosol therapy products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory humidity and aerosol therapy based medical procedures.. nebulizers. in this classification, this commodity indicates a product used as  a drug delivery device used to administer medication in the form of a mist inhaled into the lungs  in a medical setting.  us fda regulates nebulizers under 21 cfr 868.5450 and under fda product code ogg.  most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"respiratory humidity and aerosol therapy products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory humidity and aerosol therapy based medical procedures.. transfer sets for respiratory therapy. in this classification, this commodity indicates a product used as transfer set n a respiratory therapy procedure in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"respiratory humidity and aerosol therapy products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory humidity and aerosol therapy based medical procedures.. resipratory atomizers. in this classification, this commodity indicates a product used as a drug delivery system that converts powders or fluids into very fine atom like deliverable  in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"respiratory humidity and aerosol therapy products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory humidity and aerosol therapy based medical procedures.. respiratory humidifier or vaporizer accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with respiratory humidifier or vaporizers.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"respiratory humidity and aerosol therapy products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory humidity and aerosol therapy based medical procedures.. nebulizer accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with nebulizers.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"respiratory humidity and aerosol therapy products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory humidity and aerosol therapy based medical procedures.. metered dose inhaler spacers or holding chambers. in this classification, this commodity indicates a product used as a spacer or holding chamber for a device that delivers metered dosage of drugs and medicaments in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901819.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. . "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. esophageal tubes. in this classification, this commodity indicates a product that is used as a tube in an esophageal procedure in a medical setting.  us fda regulates esophageal tubes under 21 cfr 868.5650 and under fda product code cao.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. endotracheal tubes. in this classification, this commodity indicates a product that is used as a tube in an endotracheal procedure in a medical setting.  us fda regulates endotracheal tubes under 21 cfr 868.5730 and under fda product code bsk.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. tracheostomy tubes. in this classification, this commodity indicates a product that is used as a tube in a tracheostomy procedure in a medical setting.  us fda regulates tracheostomy tubes under 21 cfr 868.58 and under fda product code joh.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. endobronchial tubes. in this classification, this commodity indicates a product that is used as a hollow tube to support ventilation or an inflatable balloon to block a bronchus in an endobronchial procedure in a medical setting.  us fda regulates endobronchial tubes under 21 cfr 868.5720 and under fda product code bts.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. endotracheal or tracheostomy tube repair kits. in this classification, this commodity indicates a product that is a prepackaged collection (either custom or standard) of the equipment and supplies used to perform an endotracheal or tracheostomy tube repair procedure in a medical setting.  us fda regulates endotracheal or tracheostomy tube repair kits under 21 cfr 868.5730 and under fda product code bsk.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. respiratory aspirator products. in this classification, this commodity indicates a product used as a aspirator in a respiratory therapy in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. artificial airway holders. in this classification, this commodity indicates a product used as a holder for an artificial airway in an airway management procedure in a medical setting.  us fda regulates artificial airway holders under 21 cfr 868.5090 and under fda product code btq.  most nations, for tariff and trade purposes, schedule these products under hs 902000.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. artificial airway accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with artificial airways.  us fda regulates artificial airway accessories under 21 cfr 868.51 and under fda product code btq.  most nations, for tariff and trade purposes, schedule these products under hs 902000.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. endotracheal or tracheotomy sets. in this classification, this commodity indicates a set of instruments and consumables used in a endotracheal or tracheotomy procedure in a medical setting.  us fda regulates endotracheal or tracheotomy sets under 21 cfr 868.58 and under fda product code ogw.  most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. respiratory manometer kits. in this classification, this commodity indicates a product that is a prepackaged collection (either custom or standard) of the equipment and supplies that enable respiratory manometer use in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. nasopharyngeal tubes or airways. in this classification, this commodity indicates a product that is used as a tube or airway in a nasopharyngeal procedure in a medical setting.  us fda regulates nasopharyngeal tubes or airways under 21 cfr 868.51 and under fda product code btq.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. pharyngeal airways or airways kits. in this classification, this commodity indicates a product that is a prepackaged collection (either custom or standard) of the equipment and supplies that enable pharyngeal airway use in a medical setting.  us fda regulates pharyngeal airways or airways kits under 21 cfr 868.6810 and under fda product code ofo.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. airway pressure gages. in this classification, this commodity indicates a product used as a pressure gage in an airway management procedure in a medical setting.  us fda regulates airway pressure gages under 21 cfr 868.1780 and under fda product code csp.  most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. tracheostomy accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with tracheostomies.  us fda regulates tracheostomy accessories under 21 cfr 868.58 and under fda product code bto.  most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. pharyngometers. in this classification, this commodity indicates a product used as a device that provides valuable information about airway size and stability  in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. airway monitoring systems. in this classification, this commodity indicates a system consisting of products, consumables and accessories that are used to execute an airway monitoring procedure in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 852849.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. artificial noses and heat and moisture condensers. in this classification, this commodity indicates a product used as a device intended to be positioned over a tracheotomy (a surgically created opening in the throat) or tracheal tube (a tube inserted into the trachea) to warm and humidify gases breathed in by a patient. in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. nasopharyngeal airway kits. in this classification, this commodity indicates a product that is a prepackaged collection (either custom or standard) of the equipment and supplies that enable nasopharyngeal airway use in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. tracheal or tracheostomy tube cuff spreaders. in this classification, this commodity indicates a product that is used as a tube cuff spreader in a tracheal or tracheostomy procedure in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. artificial airway fenestrators. in this classification, this commodity indicates a product used as a fenestrator used in an artificial airway management procedure in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. supraglottic ventilatory devices. in this classification, this commodity indicates a product used to mange difficult airway conditions it is placed blindly in the lower pharynx overlying the glottis of the patient in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. jet ventilation devices. in this classification, this commodity indicates a product used as device to manage airway passages in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. emergency cricothyrotomy kits. in this classification, this commodity indicates a product that is a prepackaged collection (either custom or standard) of the equipment and supplies used to perform an emergency cricothyrotomy procedure in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. mucosal atomization devices. in this classification, this commodity indicates a product used as a device providing very small molecule fluids to aid in mucous dilution in a patient in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. orogastric tubes. in this classification, this commodity indicates a product that is used as a tube in an or gastric procedure in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. laryngectomy kits. in this classification, this commodity indicates a product that is a prepackaged collection (either custom or standard) of the equipment and supplies used to perform a laryngectomy procedure in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. oxygen flow modulator sets. in this classification, this commodity indicates a product used as with emergency transtracheal catheter ventilation when conventional ventilation by mask or endotracheal tube cannot be performed on a patient in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. percutaneous dilatational or dilational tracheostomy sets. in this classification, this commodity indicates a product that is used as a set of instruments and components and supplied used in a is the placement of a tracheostomy tube without direct surgical visualization of the trachea in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. pharyngeal tissue retractors. in this classification, this commodity indicates a product used as a retratcor for pharyngeal tissue  in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. mucus extractors and specimen traps. in this classification, this commodity indicates a product used as a extractor or specimen trap for mucus taken from a patient in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. laryngectomy tube accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with laryngectomy tubes.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. laryngectomy tubes. in this classification, this commodity indicates a product that is used as a tube in a laryngectomy procedure in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. jet ventilation device accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with jet ventilation devices.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. pharyngometer accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with pharyngometers.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. respiratory aspirator product accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with respiratory aspirator products.  most nations, for tariff and trade purposes, schedule these products under hs 392690.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. lung isolation or bronchial blocker or blockade device. a product used to occlude a portion of the human bronchial tree that allow segmentation of a lobe or lung as required for thoracic surgical procedural needs.. "
"airway management products. in this classification, this class includes, products, components, accessories, and supplies, utilized in airway management based medical procedures.. artificial airway speaking valve. in this classification, this commodity indicates a product used as a speaking valve to assist patient speaking in an artificial airway management procedure in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"intubation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in intubation based medical procedures.. . "
"intubation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in intubation based medical procedures.. intubation laryngoscopes . in this classification, this commodity indicates a product used as a laryngoscope in an intubation procedure in a medical setting.  us fda regulates intubation laryngoscopes under 21 cfr 874.4760 and under fda product code eqn.  most nations, for tariff and trade purposes, schedule these products under hs 392690.. "
"intubation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in intubation based medical procedures.. intubation stylets. in this classification, this commodity indicates a product used as a stylet in an intubation procedure in a medical setting.  us fda regulates intubation stylets under 21 cfr 868.5790 and under fda product code bsr.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"intubation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in intubation based medical procedures.. intubation forceps. in this classification, this commodity indicates a product used as a pair of forceps in an intubation procedure in a medical setting.  us fda regulates intubation forceps under 21 cfr 869.5790 and under fda product code bsr.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"intubation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in intubation based medical procedures.. introducers. in this classification, this commodity indicates a product used as an instrument or stylet used to insert a catheter, an endotracheal tube, or similar flexible device into the body  in a medical setting.  us fda regulates introducers under 21 cfr 876.15 and under fda product code nwu.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"intubation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in intubation based medical procedures.. bender tools. in this classification, this commodity indicates a product used as a tool designed to bend by providing pressure to medical instruments  in a medical setting.  us fda regulates bender tools under 21 cfr 888.4540 and under fda product code hxw.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"intubation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in intubation based medical procedures.. intubation gauges or guides. in this classification, this commodity indicates a product used as a guide or gage in an intubation procedure in a medical setting.  us fda regulates intubation gauges or guides under 21 cfr 868.14 and under fda product code ogk.  most nations, for tariff and trade purposes, schedule these products under hs 940290.. "
"intubation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in intubation based medical procedures.. patient carbon dioxide detectors. in this classification, this commodity indicates a product used as a device designed to sense and report carbon dioxide levels in a patient in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 940290.. "
"intubation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in intubation based medical procedures.. intubator components. in this classification, this commodity indicates a product used as an intubator component in an intubation procedure in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"intubation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in intubation based medical procedures.. intubation laryngoscope accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with intubation laryngoscopes.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"intubation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in intubation based medical procedures.. intubator component accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with intubator components.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"negative mechanical pressure ventilators. in this classification, this class includes, products, components, accessories, and supplies, utilized in negative mechanical pressure ventilation based medical procedures.. . "
"negative mechanical pressure ventilators. in this classification, this class includes, products, components, accessories, and supplies, utilized in negative mechanical pressure ventilation based medical procedures.. iron lungs. in this classification, this commodity indicates a product used as a  negative pressure ventilator that enables a person to breathe when normal muscle control has been lost or the work of breathing exceeds the persons ability. in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"negative mechanical pressure ventilators. in this classification, this class includes, products, components, accessories, and supplies, utilized in negative mechanical pressure ventilation based medical procedures.. chest cuirass products. in this classification, this commodity indicates a product used as  part of a non-invasive method of negative pressure ventilation which requires the patient to wear an upper body shell or cuirass in a medical setting.  us fda regulates chest cuirass products under 21 cfr 868.5935 and under fda product code byt.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"negative mechanical pressure ventilators. in this classification, this class includes, products, components, accessories, and supplies, utilized in negative mechanical pressure ventilation based medical procedures.. negative mechanical pressure ventilator accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with negative mechanical pressure ventilators.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. . "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. intermittent positive pressure breathing ippb machines. in this classification, this commodity indicates a product used as a is a respiratory therapy treatment for people who are hypoventilating.it also is used to expand the lungs, deliver aerosol medications, and in some circumstances ventilate the patient in a medical setting.  us fda regulates intermittent positive pressure breathing ippb machines under 21 cfr 868.5905 and under fda product code nhj.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. non invasive continuous positive air pressure machines. in this classification, this commodity indicates a product used as a machine that is a form of bilevel positive airway pressure , which applies mild air pressure on a continuous basis to keep the airways continuously open in people who are able to breathe spontaneously on their own in a medical setting.  us fda regulates non invasive continuous positive air pressure machines under 21 cfr 872.5410 and under fda product code dzd.  most nations, for tariff and trade purposes, schedule these products under hs 480220.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. non invasive bi level machines. in this classification, this commodity indicates a product used as a machine that is a form of positive airway pressure ventilator, which applies mild air pressure on a continuous basis to keep the airways continuously open in people who are able to breathe spontaneously on their own in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. transport ventilators. in this classification, this commodity indicates a product used as an appliance for artificial respiration used in a transport scenario in a medical setting.  us fda regulates transport ventilators under 21 cfr 868.5895 and under fda product code cbk.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. intensive care ventilators. in this classification, this commodity indicates a product used as an appliance for artificial respiration used in the intensive care unit in a medical setting.  us fda regulates intensive care ventilators under 21 cfr 868.5895 and under fda product code cbk.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. high frequency ventilators. in this classification, this commodity indicates a product used as an high frequency appliance for artificial respiration in a medical setting.  us fda regulates high frequency ventilators under 21 cfr 868.5895 and under fda product code cbk.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. home care ventilators. in this classification, this commodity indicates a product used as an appliance for artificial respiration in a home care scenario in a medical setting.  us fda regulates home care ventilators under 21 cfr 868.5895 and under fda product code cbk.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. ventilator circuits. in this classification, this commodity indicates a product used as an appliance for artificial respiration in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. hyperinflation products. in this classification, this commodity indicates a product used as a airway management tool utilizing hyperventilation to expand airways that have collapsed in a medical setting.  us fda regulates hyperinflation products under 21 cfr 868.5905 and under fda product code nhk.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. positive end expiratory pressure peep valves. in this classification, this commodity indicates a product used as a method of ventilation in which airway pressure is maintained above atmospheric pressure at the end of exhalation by means of a mechanical impedance, usually a valve, within the circuit in a medical setting.  us fda regulates positive end expiratory pressure peep valves under 21 cfr 868.5695 and under fda product code bye.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. continuous positive airway pressure cpap masks or straps. in this classification, this commodity indicates a product used as a mask or strap that maintains continuous positive airway pressure in an artificial airway management procedure in a medical setting.  us fda regulates continuous positive airway pressure cpap masks or straps under 21 cfr 868.5905 and under fda product code bzd.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. ventilator testing supplies. in this classification, this commodity indicates a product used for testing patients relative to the use of an appliance for artificial respiration in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. ventilator thermometers. in this classification, this commodity indicates a product used as an thermometer for an appliance for artificial respiration in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 902511.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. ventilator water traps. in this classification, this commodity indicates a product used as the water trap used in an appliance for artificial respiration in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. ventilator gas sampling ports or lines. in this classification, this commodity indicates a product used to sample through a port or deliver through a line ventilator gas in a medical setting. or  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. ventilator heat or moisture exchangers or filters. in this classification, this commodity indicates a product used as an heat or moisture exchangers or filter in an appliance for artificial respiration in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. ventilator accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with ventilators.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. ventilator weaning products. in this classification, this commodity indicates a product used to wean a patient of an appliance for artificial respiration in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901832.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. breathing apparatus accessories or supplies. in this classification, this commodity indicates a product that is either an accessory or consumable associated with breathing apparatus or supplies.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. ventilator circuit kits. in this classification, this commodity indicates a product that is a prepackaged collection (either custom or standard) of the equipment and supplies that enable ventilator circuit use in a medical setting.  us fda regulates ventilator circuit kits under 21 cfr 868.5240 and under fda product code cai.  most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. bi level positive airway pressure bi pap accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with bi level positive airway pressure bi paps.  most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. anesthesia breathing circuit accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with anesthesia breathing circuits.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. artificial airway continuous positive airway pressure (cpap) catheters. in this classification, this commodity indicates a product used as a flexible tube inserted through a narrow opening into a body cavity in an artificial airway procedure.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. artificial airway cpap catheter mounts. in this classification, this commodity indicates a product used the mounts for an as a flexible tube inserted through a narrow opening into a body cavity in an artificial airway procedure.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. anesthesia breathing circuits. in this classification, this commodity indicates a product used as a breathing circuit for an anesthesia apparatus used in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. ventilator circuit accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with ventilator circuits.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"positive mechanical pressure ventilators and accessories. in this classification, this class includes, products, components, accessories, and supplies, utilized in positive mechanical pressure ventilation based medical procedures.. continuous positive airway pressure cpap system accessories. accessories used with a continuous positive airway cpap system.. "
"resuscitation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in resuscitation based medical procedures.. . "
